VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,04/24/2018 06:27:35 PM,04/24/2018 06:34:49 PM,1,1.34,1,N,229,141,1,7,1,0.5,1.76,0,0.3,10.56
2,04/24/2018 06:36:02 PM,04/24/2018 06:44:51 PM,1,0.96,1,N,141,237,2,7.5,1,0.5,0,0,0.3,9.3
2,04/24/2018 06:48:10 PM,04/24/2018 07:01:58 PM,2,1.68,1,N,237,164,1,10,1,0.5,3.54,0,0.3,15.34
1,04/24/2018 06:07:02 PM,04/24/2018 06:21:38 PM,1,1.6,1,N,186,230,1,10.5,1,0.5,2.45,0,0.3,14.75
1,04/24/2018 06:23:09 PM,04/24/2018 06:48:24 PM,1,3.9,1,N,230,45,2,17.5,1,0.5,0,0,0.3,19.3
1,04/24/2018 06:54:19 PM,04/24/2018 07:03:16 PM,1,1.3,1,N,144,79,1,7.5,1,0.5,2,0,0.3,11.3
2,04/24/2018 06:02:58 PM,04/24/2018 06:08:15 PM,1,0.85,1,N,162,237,1,5.5,1,0.5,1.46,0,0.3,8.76
2,04/24/2018 06:15:19 PM,04/24/2018 06:20:37 PM,1,0.89,1,N,236,141,2,5.5,1,0.5,0,0,0.3,7.3
2,04/24/2018 06:31:47 PM,04/24/2018 06:56:10 PM,1,5.88,1,N,162,88,2,21,1,0.5,0,0,0.3,22.8
2,04/24/2018 05:59:46 PM,04/24/2018 06:18:03 PM,1,3.14,1,N,237,68,2,14,1,0.5,0,0,0.3,15.8
2,04/24/2018 06:26:44 PM,04/24/2018 06:32:11 PM,1,1.03,1,N,249,231,1,6,1,0.5,1.95,0,0.3,9.75
2,04/24/2018 06:57:11 PM,04/24/2018 07:25:24 PM,1,4.53,1,N,125,237,1,19.5,1,0.5,1.7,0,0.3,23
1,04/24/2018 06:32:52 PM,04/24/2018 06:43:59 PM,1,1.2,1,N,79,148,1,9,1,0.5,1,0,0.3,11.8
2,04/24/2018 06:55:08 PM,04/24/2018 06:57:12 PM,1,0.29,1,N,229,233,2,3,1,0.5,0,0,0.3,4.8
2,04/24/2018 06:07:18 PM,04/24/2018 06:12:12 PM,1,0.77,1,N,90,113,1,5,1,0.5,1.7,0,0.3,8.5
2,04/24/2018 06:22:01 PM,04/24/2018 06:38:16 PM,1,2.31,1,N,170,4,2,12.5,1,0.5,0,0,0.3,14.3
2,04/24/2018 06:47:13 PM,04/24/2018 06:51:43 PM,1,0.67,1,N,79,4,2,5,1,0.5,0,0,0.3,6.8
2,04/24/2018 06:45:03 PM,04/24/2018 07:03:45 PM,4,4.48,1,N,138,146,1,17,1,0.5,2.22,0,0.3,21.02
1,04/24/2018 06:03:04 PM,04/24/2018 06:15:39 PM,1,2.6,1,N,246,239,1,11.5,1,0.5,1.33,0,0.3,14.63
1,04/24/2018 06:17:10 PM,04/24/2018 06:29:34 PM,1,1.8,1,N,239,263,1,9.5,1,0.5,2.26,0,0.3,13.56
1,04/24/2018 06:33:58 PM,04/24/2018 06:58:10 PM,1,5.3,1,N,262,68,1,21.5,1,0.5,4.65,0,0.3,27.95
2,04/24/2018 06:15:20 PM,04/24/2018 06:48:35 PM,1,4.27,1,N,43,107,1,22,1,0.5,3.5,0,0.3,27.3
2,04/24/2018 06:18:21 PM,04/24/2018 06:53:34 PM,1,10.58,1,N,138,230,1,34,1,0.5,6.44,5.76,0.3,48
2,04/24/2018 06:56:20 PM,04/24/2018 07:08:42 PM,1,1.95,1,N,230,246,1,10,1,0.5,2.36,0,0.3,14.16
2,04/24/2018 06:09:47 PM,04/24/2018 06:17:42 PM,1,1,1,N,158,249,2,6.5,1,0.5,0,0,0.3,8.3
2,04/24/2018 06:09:47 PM,04/24/2018 06:28:27 PM,1,1.29,1,N,158,144,2,7.5,1,0.5,0,0,0.3,9.3
2,04/24/2018 06:30:28 PM,04/24/2018 06:36:26 PM,1,0.6,1,N,144,79,1,5.5,1,0.5,1.46,0,0.3,8.76
2,04/24/2018 06:41:15 PM,04/24/2018 06:46:22 PM,1,0.92,1,N,79,137,1,5.5,1,0.5,0,0,0.3,7.3
2,04/24/2018 06:48:12 PM,04/24/2018 06:55:41 PM,1,0.77,1,N,170,229,2,6.5,1,0.5,0,0,0.3,8.3
2,04/24/2018 06:56:56 PM,04/24/2018 07:09:02 PM,2,2.35,1,N,229,236,2,10.5,1,0.5,0,0,0.3,12.3
2,04/24/2018 06:07:56 PM,04/24/2018 06:18:22 PM,1,1.42,1,N,97,49,1,8.5,1,0.5,1,0,0.3,11.3
2,04/24/2018 06:25:59 PM,04/24/2018 06:32:48 PM,1,0.95,1,N,97,25,1,6.5,1,0.5,0,0,0.3,8.3
2,04/24/2018 06:43:54 PM,04/24/2018 06:52:25 PM,1,1.16,1,N,45,87,2,7,1,0.5,0,0,0.3,8.8
1,04/24/2018 06:20:49 PM,04/24/2018 06:36:59 PM,1,2.3,1,N,186,143,1,12,1,0.5,3.45,0,0.3,17.25
1,04/24/2018 06:51:42 PM,04/24/2018 07:01:13 PM,1,0.8,1,N,163,142,2,7,1,0.5,0,0,0.3,8.8
2,04/24/2018 06:09:35 PM,04/24/2018 06:15:42 PM,2,0.96,1,N,237,236,2,6,1,0.5,0,0,0.3,7.8
2,04/24/2018 06:20:25 PM,04/24/2018 06:50:06 PM,2,4.77,1,N,236,236,1,21,1,0.5,4.56,0,0.3,27.36
2,04/24/2018 06:56:37 PM,04/24/2018 07:04:14 PM,2,1.47,1,N,236,238,1,7.5,1,0.5,2.32,0,0.3,11.62
1,04/24/2018 06:08:51 PM,04/24/2018 07:00:21 PM,4,18.2,2,N,132,162,2,52,4.5,0.5,0,0,0.3,57.3
1,04/24/2018 06:06:30 PM,04/24/2018 06:22:55 PM,1,3.6,1,N,162,232,2,15,1,0.5,0,0,0.3,16.8
1,04/24/2018 06:43:39 PM,04/24/2018 06:54:49 PM,1,1.1,1,N,13,231,1,8.5,1,0.5,2.06,0,0.3,12.36
2,04/24/2018 06:08:21 PM,04/24/2018 06:19:23 PM,1,1.37,1,N,90,161,1,8.5,1,0.5,2.06,0,0.3,12.36
2,04/24/2018 06:21:01 PM,04/24/2018 06:34:01 PM,2,1.06,1,N,161,170,1,9.5,1,0.5,2,0,0.3,13.3
2,04/24/2018 06:37:14 PM,04/24/2018 07:00:48 PM,1,2.05,1,N,170,48,1,15.5,1,0.5,3.46,0,0.3,20.76
2,04/24/2018 06:05:03 PM,04/24/2018 06:18:39 PM,6,1.69,1,N,142,237,1,10.5,1,0.5,2.46,0,0.3,14.76
2,04/24/2018 06:21:53 PM,04/24/2018 06:33:19 PM,6,1.72,1,N,237,236,2,9.5,1,0.5,0,0,0.3,11.3
2,04/24/2018 06:40:46 PM,04/24/2018 07:18:43 PM,6,14.86,1,N,262,14,1,42.5,1,0.5,0,0,0.3,44.3
2,04/24/2018 06:02:21 PM,04/24/2018 06:05:58 PM,2,0.48,1,N,239,239,2,4.5,1,0.5,0,0,0.3,6.3
2,04/24/2018 06:13:40 PM,04/24/2018 07:11:42 PM,2,31.34,2,N,143,132,2,52,4.5,0.5,0,5.76,0.3,63.06
2,04/24/2018 05:58:10 PM,04/24/2018 06:00:50 PM,1,0.57,1,N,107,79,1,4,1,0.5,1.16,0,0.3,6.96
2,04/24/2018 06:04:29 PM,04/24/2018 06:16:02 PM,2,1.99,1,N,79,162,1,10,1,0.5,2.36,0,0.3,14.16
2,04/24/2018 06:21:25 PM,04/24/2018 06:29:34 PM,1,0.94,1,N,162,164,2,7,1,0.5,0,0,0.3,8.8
2,04/24/2018 06:31:21 PM,04/24/2018 06:45:13 PM,1,1.57,1,N,164,79,1,10,1,0.5,2.95,0,0.3,14.75
